"","study","germplasm","grain_yield_bu_ac","test_weight_lb_bu","heading_time_jd","plant_height_in"
"38","Big6_Neo_24","OH21-5-47",18.9817057320578,0.349173481602075,-0.562593094105732,-1.84058621572684
"39","Big6_Fre_24","MI20R0012",18.9391863371276,1.94362554740094,NA,NA
"40","Big6_Fre_24","MI22W213",18.7727281561545,-1.43531691223724,NA,NA
"41","Big6_Neo_24","IL16LCSDH-09-T-2664-24",18.7501008109433,3.91962696850485,0.709723659916168,-1.28056314559269
"42","Big6_Urb_24","16-8048",18.4883573686794,3.02789244041538,-1.30460150579231,-0.225364498418794
"43","Big6_Neo_24","IL16LCSDH-04-T-2659-216",18.4046603343557,3.31138282009137,-1.10716452802328,-1.59886642129369
"44","Big6_Neo_24","IL2021-16415",18.3750039179149,3.81208541342411,-1.29711202480316,-0.711760020615527
"45","Big6_Urb_24","2020-6205",18.3719255300869,3.90178193273136,-1.31758693489821,-2.65764681944237
"46","Big6_Urb_23","2402",18.3074256578507,-1.14894706909294,-0.68276582365206,-2.96095603783692
"47","Big6_Neo_24","IL16LCSDH-04-T-2659-20",18.3000332330159,3.24039912426082,-0.169006886280065,-0.762810811368327
"48","Big6_Neo_24","IL16LCSDH-09-T-2664-16",18.2935989355366,3.37178267488364,-1.10513684977493,0.566161802119743
"49","Big6_Fre_24","OH15-191-52",18.2711430731275,-0.0957134711178175,NA,NA
"50","Big6_Neo_24","16-8048",18.2185254473876,2.64416711242336,-1.27589224471812,0.229742645368007
"51","Big6_Urb_24","IL16LCSDH-04-T-2659-225",18.1698624653722,3.57672495667901,-1.77659800313019,-0.158039273821652
"52","Big6_Urb_24","MI22W213",18.1470201351802,-0.15040974186748,0.237643232304583,-3.45865377404386
"53","Big6_Urb_24","OH21-117-72",18.0706657226559,2.84989183828865,-0.27081791519862,-2.53071894381111
"54","Big6_Neo_24","IL2021-35723",18.0519824673717,1.17978456991139,-4.24059063945815,-1.11309781443932
"55","Big6_Urb_24","MI20R0012",17.9463332443599,4.46064820656774,1.12744041988401,0.688835003313681
"56","Big6_Urb_24","OH15-191-52",17.5682469899358,1.03001247707026,1.43144214183989,-0.142732577985343
"57","Big6_Neo_24","OH19-167-5",17.4479018954991,0.642840544065524,-0.671399538618767,0.296860180320491
"58","Big6_Urb_24","IL2021-16415",17.4117677769194,4.61583277552488,-1.55212611947428,-0.947834499624055
"59","Big6_Woo_23","2402",17.2811719157561,-0.34702199309379,-0.307409465425738,-2.31236362313234
"60","Big6_Woo_24","OH21*117-94",17.045092906865,0.888862151586962,NA,NA
"61","Big6_Neo_24","19-25469",16.989079979128,2.23400530658287,-3.51727117425466,0.318707592652212
"62","Big6_Woo_24","2447",16.881314270711,-0.682978551734164,NA,NA
"63","Big6_Neo_24","OH21-117-72",16.8808855198503,1.19185630529767,-0.179804563248396,-2.70503434241413
"64","Big6_Neo_24","IL16LCSDH-04-T-2659-232",16.7842665503423,1.8130806387471,-0.960296741686828,-0.556309982600695
"65","Big6_Laf_23","NY12325-1-10-18-1477",16.7080511639527,-0.734386940741012,6.0379822451364,NA
"66","Big6_Neo_24","IL2021-15134",16.6573582867608,2.63815096708505,-1.40640392670391,-2.34035858118456
"67","Big6_Urb_24","X15-1085-56-15-3-2",16.653753654588,2.60720223760184,-0.710520864072014,-1.37124720075505
"68","Big6_Urb_24","OH21-92-54",16.431116777194,2.63700486729695,-1.34456067046845,-1.74577962055424
"69","Big6_Neo_24","2020-6205",16.3905542647517,2.11092078077833,-1.64803058663783,-1.94961730600444
"70","Big6_Laf_23","2214",16.3898842436738,-0.79470077629602,-0.847369730555018,NA
"71","Big6_Neo_24","OH21-2-74",16.3361559932911,0.130004861120992,-0.484471375332065,-2.86778810008642
"72","Big6_Urb_24","22PU-3157",16.2746774233165,-0.926114180425479,0.288312887069156,-1.6669495224505
"73","Big6_Urb_24","IL2021-18457",16.2143259956267,1.52698146830265,-1.18866539767475,-0.567499083711468
"74","Big6_Laf_23","2221",16.1179466736688,-0.479272973520289,3.69484753487185,NA
"75","Big6_Urb_24","OH20*24-51",16.0284915895614,4.45809935625082,-0.0157129503751823,2.26582165400224
"76","Big6_Woo_24","OH21*111-93",15.9284896718066,1.56812869315772,NA,NA
"77","Big6_Urb_23","2410",15.9147277588427,-1.63666612939209,0.114832778502788,-2.13061957964829
"78","Big6_Laf_23","21PU-0282",15.8044813489507,-0.197866505483372,-1.04337492151894,NA
"79","Big6_Neo_24","IL16LCSDH-08-T-2663-55",15.7638149221358,2.81298436778984,-1.87303671568505,0.470021094243671
