"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"14","MI20R0012",89.4177828746759,57.8596444427498,129.265792272361,36.6767664387181,160.988990868016,4.94593118932003,0.746340724703292,3.7451502324232,1.64622375588498,3.27089680157122
"15","IL16LCSDH-09-T-2664-20",89.3631414912047,58.9579901483508,128.309568650222,35.73945372118,158.815654451778,4.9389092434342,0.746915438362624,3.744617833622,1.63996304758959,3.26885606584963
"16","16-8048",89.1991330222288,57.4616119490397,127.448382800527,36.4740924059542,158.715091118979,4.96147117986485,0.749058221207743,3.7424432585844,1.61546838976343,3.31794194971854
"17","OH21-8-3",89.0503941417738,55.9161667303642,128.141171872264,35.8012957468835,159.574564908998,5.0276005997989,0.761191545135429,3.75601326703427,1.74695751623101,3.36333421420173
"18","OH21-2-74",89.0465658284347,56.3447575006897,128.024806755676,33.7124474538397,161.006409255129,5.01962798167488,0.760379342756325,3.75673822829302,1.74751735170295,3.35831351309039
"19","IL16LCSDH-09-T-2664-28",89.0159762152318,59.2119855913911,128.422230187667,35.6017523644723,158.878550686842,4.93616819439278,0.746549277702321,3.74478452530495,1.6447324583387,3.26928919283479
"20","2425",88.9812582454295,54.9784715468795,128.718396675582,32.6464514285403,157.50118890208,5.03213380600005,0.76136296362627,3.75536932451387,1.74163926035274,3.35347913092961
"21","IL16LCSDH-10-T-2665-21",88.9096321093684,57.9686582146844,127.122387732871,33.3027272605686,159.065667156147,4.95814281926949,0.74768633614618,3.74570137327895,1.65383249331759,3.27113465134177
"22","IL16LCSDH-08-T-2663-55",88.8650938646905,57.8105592640286,126.424879378475,36.9158939119223,158.044311287424,4.94112089215197,0.74655402558073,3.74499855802102,1.64333220580364,3.27028885914717
"23","IL16LCSDH-09-T-2664-16",88.8250398822705,58.3944937470553,126.941094205302,36.6023371143238,157.443500930318,4.94192073943844,0.747157723029668,3.7449853656508,1.6442192400476,3.2694154028037
