"","germplasm","predicted.value","std.error","status","trait"
"86","2240",84.5536682209054,4.95099044315237,"Estimable","grain_yield"
"87","2241",85.7816514010505,5.15842361229657,"Estimable","grain_yield"
"88","2242",81.9739335066864,5.15587244202018,"Estimable","grain_yield"
"89","2243",80.6401341102664,5.18076767779632,"Estimable","grain_yield"
"90","2244",87.8268280850433,5.1340340611248,"Estimable","grain_yield"
"91","2245",78.0432160393288,5.15948534748645,"Estimable","grain_yield"
"92","2246",86.6993808734572,5.15798209245023,"Estimable","grain_yield"
"93","2247",79.5299857537427,5.18085294191237,"Estimable","grain_yield"
"94","2248",82.4245261098255,5.16179307213884,"Estimable","grain_yield"
"95","2249",84.5686553799534,5.16854916346272,"Estimable","grain_yield"
"96","2250",82.8621074054294,5.1596881807562,"Estimable","grain_yield"
"97","2251",81.6046418171229,5.15439416142745,"Estimable","grain_yield"
"98","2252",83.83528417972,5.16376364623526,"Estimable","grain_yield"
"99","2253",78.8000458411232,5.17988434549805,"Estimable","grain_yield"
"100","2254",82.6937172920707,5.15926571420809,"Estimable","grain_yield"
"101","2255",86.3170077408113,5.17477629349597,"Estimable","grain_yield"
"102","2256",80.3691774035062,5.18719410780456,"Estimable","grain_yield"
"103","2257",81.8405433158435,5.16010720903199,"Estimable","grain_yield"
"104","2258",75.4536877320106,4.95137004105859,"Estimable","grain_yield"
"105","2259",78.8121289525935,5.16877675894769,"Estimable","grain_yield"
"106","2260",81.8418329218307,4.95226941756839,"Estimable","grain_yield"
"107","2261",86.2953561988041,4.94409882298595,"Estimable","grain_yield"
"108","2262",86.5963435595452,4.95144062162963,"Estimable","grain_yield"
"109","2263",81.9197319691977,4.9492150816033,"Estimable","grain_yield"
"110","22PU-0104",73.8092950904388,4.94341858733889,"Estimable","grain_yield"
"111","22PU-1001",82.7387574161213,5.16604582154851,"Estimable","grain_yield"
"112","22PU-1002",80.0140235525012,5.17318494974889,"Estimable","grain_yield"
"113","22PU-1020",81.3553865159669,5.2280088936444,"Estimable","grain_yield"
"114","22PU-1022",68.2017816871365,5.27801038644086,"Estimable","grain_yield"
"115","22PU-1031",74.5714084652215,5.04925001921102,"Estimable","grain_yield"
"116","22PU-1033",76.4057441704402,5.23186552905239,"Estimable","grain_yield"
"117","22PU-1047",78.0116516043108,5.04219004007849,"Estimable","grain_yield"
"118","22PU-1048",77.7902969881626,5.03595746655717,"Estimable","grain_yield"
"119","22PU-1062",80.6195209963048,5.02340481395692,"Estimable","grain_yield"
"120","22PU-1075",71.6352570155379,5.16791720477303,"Estimable","grain_yield"
"121","22PU-1080",80.3917178193345,5.039321792473,"Estimable","grain_yield"
"122","22PU-1081",73.8831174256508,5.02949661380784,"Estimable","grain_yield"
"123","22PU-1099",75.3457001165705,5.01768806066233,"Estimable","grain_yield"
"124","22PU-1101",76.1360237046479,5.01888446825824,"Estimable","grain_yield"
"125","22PU-1122",72.7547998582578,5.27330812203619,"Estimable","grain_yield"
"126","22PU-1155",73.182573647087,5.03961722572091,"Estimable","grain_yield"
"127","22PU-1172",74.9992464934976,5.06691761795089,"Estimable","grain_yield"
"128","22PU-1176",76.9867414213653,5.08627918347915,"Estimable","grain_yield"
"129","22PU-1182",75.0513541512853,5.24499506950016,"Estimable","grain_yield"
"130","22PU-1188",64.9132537914619,5.18031232311836,"Estimable","grain_yield"
"131","22PU-1193",71.300413914969,5.04604390690707,"Estimable","grain_yield"
"132","22PU-1217",69.3734325599938,5.05620390254173,"Estimable","grain_yield"
"133","22PU-1227",76.8725340900766,5.19348426545585,"Estimable","grain_yield"
"134","22PU-1248",74.3437659573858,5.05281438810306,"Estimable","grain_yield"
"135","22PU-1305",75.449506314696,5.04154342862067,"Estimable","grain_yield"
"136","22PU-1322",71.6654272076236,5.04037865703215,"Estimable","grain_yield"
"137","22PU-1342",71.7554883562519,5.05001718578011,"Estimable","grain_yield"
"138","22PU-1347",72.3050780814315,5.03910112127895,"Estimable","grain_yield"
"139","22PU-1366",72.2536486531939,4.93721637211366,"Estimable","grain_yield"
"140","22PU-1379",73.7248033950236,5.04100097993367,"Estimable","grain_yield"
"141","22PU-1385",73.6245057118355,5.14973408897078,"Estimable","grain_yield"
"142","22PU-1391",73.3699461612454,5.05213399060947,"Estimable","grain_yield"
"143","22PU-1412",80.0536943854721,5.03649286146999,"Estimable","grain_yield"
"144","22PU-1427",73.5606133757436,5.07242212161052,"Estimable","grain_yield"
"145","22PU-3012",67.404994290137,5.20540387359791,"Estimable","grain_yield"
"146","22PU-3027",79.9490121649576,5.16757805154577,"Estimable","grain_yield"
"147","22PU-3029",82.5092380774717,4.93422663421794,"Estimable","grain_yield"
"148","22PU-3048",68.3012218875939,5.17462821637829,"Estimable","grain_yield"
"149","22PU-3054",75.7301820023096,5.00615769159428,"Estimable","grain_yield"
"150","22PU-3055",75.8745474656581,5.17009391117376,"Estimable","grain_yield"
"151","22PU-3070",73.6667625407425,5.24274408737511,"Estimable","grain_yield"
"152","22PU-3071",83.5941666690719,5.03010948003003,"Estimable","grain_yield"
"153","22PU-3081",80.9262432557821,5.17675529890278,"Estimable","grain_yield"
"154","22PU-3086",76.7857812941876,5.15094636392883,"Estimable","grain_yield"
"155","22PU-3106",79.7176379189521,4.93506799177477,"Estimable","grain_yield"
"156","22PU-3107",78.1126161051446,5.00164645241266,"Estimable","grain_yield"
"157","22PU-3108",80.5661603123429,5.13370829632379,"Estimable","grain_yield"
"158","22PU-3109",76.2415069712312,5.12561276201381,"Estimable","grain_yield"
"159","22PU-3110",78.3064239101043,5.12881580971312,"Estimable","grain_yield"
"160","22PU-3111",76.8330244617722,5.02035268065771,"Estimable","grain_yield"
"161","22PU-3112",75.9683472636034,5.1710568301202,"Estimable","grain_yield"
"162","22PU-3117",73.6631894086283,5.19273347003458,"Estimable","grain_yield"
"163","22PU-3123",76.3177163194327,5.02468273353156,"Estimable","grain_yield"
"164","22PU-3126",78.8417711486984,4.9485223567754,"Estimable","grain_yield"
"165","22PU-3152",77.9819504087669,5.14134472617764,"Estimable","grain_yield"
"166","22PU-3153",72.9277456658636,5.15695173561628,"Estimable","grain_yield"
"167","22PU-3157",83.8741193287167,5.13281372833125,"Estimable","grain_yield"
"168","22PU-3166",68.6256306041085,5.25775139178476,"Estimable","grain_yield"
"169","22PU-3248",80.9218556239814,5.0278310324807,"Estimable","grain_yield"
"170","22PU-3251",66.448813436255,5.18363830266076,"Estimable","grain_yield"
"171","22PU-3262",77.4005764336552,5.026292205031,"Estimable","grain_yield"
"172","22PU-3304",74.4567540693996,5.15437446805118,"Estimable","grain_yield"
"173","22PU-3313",72.8145197444034,5.06267632026099,"Estimable","grain_yield"
"174","22PU-3329",77.7623279382418,4.9444170083503,"Estimable","grain_yield"
"175","22PU-3389",73.0065596063072,5.04703111538554,"Estimable","grain_yield"
"176","22PU-3425",71.6234290041389,5.26971405778785,"Estimable","grain_yield"
"177","22PU-3447",78.2030204989768,5.12114029005281,"Estimable","grain_yield"
"178","22PU-3451",76.566490745013,5.01033200487281,"Estimable","grain_yield"
"179","22PU-3456",76.9185136909139,5.17670017849564,"Estimable","grain_yield"
"180","22PU-3470",77.1369581969439,5.06416752525945,"Estimable","grain_yield"
"181","22PU-3473",76.5250721472008,5.15169530999112,"Estimable","grain_yield"
"182","2401",86.905142264332,5.03836610523635,"Estimable","grain_yield"
"183","2402",89.5302444894679,5.03398884877351,"Estimable","grain_yield"
"184","2403",83.3117003945042,5.03008290889059,"Estimable","grain_yield"
"185","2404",84.0029814118006,5.05346489435251,"Estimable","grain_yield"
"186","2405",85.0766040362326,5.05618486167979,"Estimable","grain_yield"
"187","2406",85.0183880118655,5.03753489817675,"Estimable","grain_yield"
"188","2407",83.4518424505742,5.03801673158137,"Estimable","grain_yield"
"189","2408",79.7519898418263,5.03247439493084,"Estimable","grain_yield"
"190","2409",78.9421130006002,5.12939913315474,"Estimable","grain_yield"
"191","2410",87.2164232715147,5.03901809748479,"Estimable","grain_yield"
"192","2411",83.1024616075018,5.04486146566864,"Estimable","grain_yield"
"193","2412",82.8902859591162,5.03946160368369,"Estimable","grain_yield"
"194","2413",83.1847596692971,5.04559645958932,"Estimable","grain_yield"
"195","2414",80.17364810104,5.03829912230787,"Estimable","grain_yield"
"196","2415",79.1045197342079,5.05274036017979,"Estimable","grain_yield"
"197","2416",83.5021799752562,5.04058665731967,"Estimable","grain_yield"
"198","2417",82.1031645626691,5.03399510073923,"Estimable","grain_yield"
"199","2418",82.4671791294089,5.03504391244109,"Estimable","grain_yield"
"200","2419",83.1854156307553,5.04402234023662,"Estimable","grain_yield"
"201","2420",82.2475230247724,5.03565241075157,"Estimable","grain_yield"
"202","2421",80.5742705172397,5.06400350551532,"Estimable","grain_yield"
"203","2422",84.2641944282963,5.0471657580217,"Estimable","grain_yield"
"204","2423",84.1229430821368,5.04525001504781,"Estimable","grain_yield"
"205","2424",84.2611787203386,5.04466212704358,"Estimable","grain_yield"
"206","2425",88.9812582454295,5.03213380600005,"Estimable","grain_yield"
"207","2426",84.7456098371329,5.03501356712925,"Estimable","grain_yield"
"208","2427",86.470763996688,5.03423108243905,"Estimable","grain_yield"
"209","2428",84.3149785046517,5.04321142346847,"Estimable","grain_yield"
"210","2429",86.0800949698237,5.04289019701266,"Estimable","grain_yield"
"211","2430",83.2396368146508,5.0530888285346,"Estimable","grain_yield"
"212","2431",85.1435914874211,5.04413643807396,"Estimable","grain_yield"
"213","2432",83.7210134417823,5.02596191822603,"Estimable","grain_yield"
"214","2433",82.8190536693736,5.03913644074529,"Estimable","grain_yield"
"215","2434",83.139671842778,5.04684913512034,"Estimable","grain_yield"
"216","2435",85.2863393597302,5.04668399130722,"Estimable","grain_yield"
"217","2436",84.8852628080875,5.05844071576751,"Estimable","grain_yield"
"218","2437",84.8136254648344,5.04016231522816,"Estimable","grain_yield"
"219","2438",83.5479863865255,5.03354632222785,"Estimable","grain_yield"
"220","2439",82.0366853979029,5.02028510138456,"Estimable","grain_yield"
"221","2440",81.9765318350904,5.03932567133024,"Estimable","grain_yield"
"222","2441",79.8832247065023,5.03879363012575,"Estimable","grain_yield"
"223","2442",84.1658806491071,5.0551810650159,"Estimable","grain_yield"
"224","2443",81.1421567789537,5.03801659812148,"Estimable","grain_yield"
"225","2444",84.2965400000669,5.03406759242764,"Estimable","grain_yield"
"226","2445",81.7036491496041,5.04514621271397,"Estimable","grain_yield"
"227","2446",82.4784136129205,5.0384846383599,"Estimable","grain_yield"
"228","2447",87.8211255540846,5.03742532753458,"Estimable","grain_yield"
"229","2448",80.8107339324599,5.0490729205882,"Estimable","grain_yield"
"230","2449",82.2269430302591,5.03217777135467,"Estimable","grain_yield"
"231","2450",87.2557296427354,5.05385832888303,"Estimable","grain_yield"
"232","B722",84.9185224089872,5.08150944846204,"Estimable","grain_yield"
"233","B726",82.7513264586954,5.02758568644998,"Estimable","grain_yield"
"234","B732",83.0574652569099,4.94411157822677,"Estimable","grain_yield"
"235","07-19334",86.6997638919369,4.87977185171149,"Estimable","grain_yield"
"236","12-26004",74.8130892708538,4.9499687712146,"Estimable","grain_yield"
"237","16-8048",89.1991330222288,4.96147117986485,"Estimable","grain_yield"
"238","IL16LCSDH-02-T-864-59",83.1020633300282,5.04696923574632,"Estimable","grain_yield"
"239","IL16LCSDH-04-T-2659-20",90.0334632365729,4.94221601092867,"Estimable","grain_yield"
"240","IL16LCSDH-04-T-2659-216",90.2210627795422,4.94429932474558,"Estimable","grain_yield"
"241","IL16LCSDH-04-T-2659-225",84.5577221791536,5.06101747546229,"Estimable","grain_yield"
"242","IL16LCSDH-04-T-2659-232",83.0489536276465,5.04190881041259,"Estimable","grain_yield"
"243","IL16LCSDH-04-T-2659-3",88.4056033536299,4.9413496501755,"Estimable","grain_yield"
"244","IL16LCSDH-06-T-2661-17",90.3549352759183,4.93658812952856,"Estimable","grain_yield"
"245","IL16LCSDH-07-T-2662-202",86.7274025340058,4.94507862246899,"Estimable","grain_yield"
"246","IL16LCSDH-08-T-2663-55",88.8650938646905,4.94112089215197,"Estimable","grain_yield"
"247","IL16LCSDH-09-T-2664-16",88.8250398822705,4.94192073943844,"Estimable","grain_yield"
"248","IL16LCSDH-09-T-2664-20",89.3631414912047,4.9389092434342,"Estimable","grain_yield"
"249","IL16LCSDH-09-T-2664-23",88.4286607858848,4.95487859373967,"Estimable","grain_yield"
"250","IL16LCSDH-09-T-2664-24",87.9327215442682,4.93560408760061,"Estimable","grain_yield"
"251","IL16LCSDH-09-T-2664-28",89.0159762152318,4.93616819439278,"Estimable","grain_yield"
"252","IL16LCSDH-09-T-2664-36",88.1318016961936,4.94004855905034,"Estimable","grain_yield"
"253","IL16LCSDH-09-T-2664-40",86.9700748174845,4.93801781746535,"Estimable","grain_yield"
"254","IL16LCSDH-09-T-2664-43",87.855642577347,4.94199682649283,"Estimable","grain_yield"
"255","IL16LCSDH-10-T-2665-21",88.9096321093684,4.95814281926949,"Estimable","grain_yield"
"256","IL16LCSDH-10-T-2665-22",87.5974995521458,5.03081376945056,"Estimable","grain_yield"
"257","IL16LCSDH-10-T-2665-41",84.3650273085983,4.94588726339791,"Estimable","grain_yield"
"258","IL16LCSDH-11-T-2666-206",82.1138771059887,5.05090284485309,"Estimable","grain_yield"
"259","18-23760",83.0541790739018,4.89882423467556,"Estimable","grain_yield"
"260","18-28931",79.3496034536266,5.17112045541845,"Estimable","grain_yield"
"261","19-10123",77.6153031024887,5.02595288536862,"Estimable","grain_yield"
"262","19-12926",76.2780558578177,5.19597416688962,"Estimable","grain_yield"
"263","19-13414",82.5707064030959,5.03230595024444,"Estimable","grain_yield"
"264","19-13451",68.3577270980571,5.1773967635409,"Estimable","grain_yield"
"265","19-13713",77.1232545564395,5.16459790927989,"Estimable","grain_yield"
"266","19-13978",75.4659499791528,5.15604128194256,"Estimable","grain_yield"
"267","19-14617",76.1103120222555,5.16593901072421,"Estimable","grain_yield"
"268","19-14845",77.7684923480492,5.14163455916456,"Estimable","grain_yield"
"269","19-14856",75.9350525352406,5.06231151635308,"Estimable","grain_yield"
"270","19-14933",75.6903248874915,5.0276812100908,"Estimable","grain_yield"
"271","19-15017",74.4639462397533,5.16716790083876,"Estimable","grain_yield"
"272","19-16176",80.5887487760609,5.13632827352861,"Estimable","grain_yield"
"273","19-17546",74.5816798365077,5.17356774583699,"Estimable","grain_yield"
"274","19-17662",76.8864465257828,5.0304234355554,"Estimable","grain_yield"
"275","19-18153",77.0715585153932,5.04377312642314,"Estimable","grain_yield"
"276","19-18156",82.4719770588792,5.02696300071515,"Estimable","grain_yield"
"277","19-18725",81.1999407015402,5.16966239680682,"Estimable","grain_yield"
"278","19-18826",74.6052572648458,5.03377776259349,"Estimable","grain_yield"
"279","19-18837",74.0802670441531,5.03314604600578,"Estimable","grain_yield"
"280","19-18957",70.7339118352798,5.15369590477261,"Estimable","grain_yield"
"281","19-19205",74.6992200145586,5.18179206998795,"Estimable","grain_yield"
"282","19-20348",80.5257089402685,5.03869531698444,"Estimable","grain_yield"
"283","19-21467",82.4789426384925,5.16407423260857,"Estimable","grain_yield"
"284","19-21760",78.6950112959912,5.02384901827896,"Estimable","grain_yield"
"285","19-21848",77.6427048844511,5.03945145979372,"Estimable","grain_yield"
"286","19-22757",79.7956776756448,5.02577614237286,"Estimable","grain_yield"
"287","19-23855",77.1989727861029,5.14739715633079,"Estimable","grain_yield"
"288","19-25469",80.7887164834599,5.16906753597888,"Estimable","grain_yield"
"289","19-26456",76.9640786737041,5.16842983851993,"Estimable","grain_yield"
"290","19-26709",75.1520732494511,5.03414746982088,"Estimable","grain_yield"
"291","19-27565",79.5450825105033,5.03146538327747,"Estimable","grain_yield"
"292","19-4151",78.5827680248941,5.02990354726109,"Estimable","grain_yield"
"293","19-5122",82.101187416012,5.02694362524417,"Estimable","grain_yield"
"294","19-5632",83.4200929311139,4.97692207332785,"Estimable","grain_yield"
"295","19-6637",79.9296899786872,5.0402428365872,"Estimable","grain_yield"
"296","19-6946",83.7359756687265,5.02580650210711,"Estimable","grain_yield"
"297","2020-10001",77.8027325540956,5.1654274519734,"Estimable","grain_yield"
"298","2020-10275",74.7592888418761,5.17125743088238,"Estimable","grain_yield"
"299","2020-10322",79.2922241057023,4.96804151660582,"Estimable","grain_yield"
"300","2020-10415",79.2530537481976,5.16227690723535,"Estimable","grain_yield"
"301","2020-10435",77.0922650574789,5.1742105959145,"Estimable","grain_yield"
"302","2020-11426",79.735783191155,5.18078182187717,"Estimable","grain_yield"
"303","2020-12650",76.8942000231765,5.15459912626763,"Estimable","grain_yield"
"304","2020-12665",77.2299100147426,5.1599857657873,"Estimable","grain_yield"
"305","2020-14116",83.3565546545867,4.95850569401664,"Estimable","grain_yield"
"306","2020-15256",85.9430365466871,4.90668561751681,"Estimable","grain_yield"
"307","2020-15726",84.7696540427083,4.95892823304799,"Estimable","grain_yield"
"308","2020-16035",78.0542443667255,5.1619126980477,"Estimable","grain_yield"
