"","germplasm","grain_yield_bu_ac_Big6_Fra_23","grain_yield_bu_ac_Big6_Fra_24","grain_yield_bu_ac_Big6_Fre_23","grain_yield_bu_ac_Big6_Fre_24","grain_yield_bu_ac_Big6_Ith_23","grain_yield_bu_ac_Big6_Laf_23","grain_yield_bu_ac_Big6_Laf_24","grain_yield_bu_ac_Big6_Mas_23","grain_yield_bu_ac_Big6_Msn_24","grain_yield_bu_ac_Big6_Neo_24","grain_yield_bu_ac_Big6_Prn_23","grain_yield_bu_ac_Big6_Prn_24","grain_yield_bu_ac_Big6_Urb_23","grain_yield_bu_ac_Big6_Urb_24","grain_yield_bu_ac_Big6_Vin_23","grain_yield_bu_ac_Big6_Woo_23","grain_yield_bu_ac_Big6_Woo_24","heading_time_jd_Big6_Laf_23","heading_time_jd_Big6_Laf_24","heading_time_jd_Big6_Mas_23","heading_time_jd_Big6_Neo_24","heading_time_jd_Big6_Prn_23","heading_time_jd_Big6_Prn_24","heading_time_jd_Big6_Urb_23","heading_time_jd_Big6_Urb_24","heading_time_jd_Big6_Vin_23","heading_time_jd_Big6_Woo_23","maturity_jd_Big6_Neo_24","maturity_jd_Big6_Urb_24","plant_height_in_Big6_Laf_24","plant_height_in_Big6_Mas_23","plant_height_in_Big6_Neo_24","plant_height_in_Big6_Prn_23","plant_height_in_Big6_Urb_23","plant_height_in_Big6_Urb_24","plant_height_in_Big6_Woo_23","test_weight_lb_bu_Big6_Fra_23","test_weight_lb_bu_Big6_Fra_24","test_weight_lb_bu_Big6_Fre_23","test_weight_lb_bu_Big6_Fre_24","test_weight_lb_bu_Big6_Ith_23","test_weight_lb_bu_Big6_Laf_23","test_weight_lb_bu_Big6_Laf_24","test_weight_lb_bu_Big6_Mas_23","test_weight_lb_bu_Big6_Msn_24","test_weight_lb_bu_Big6_Neo_24","test_weight_lb_bu_Big6_Prn_23","test_weight_lb_bu_Big6_Prn_24","test_weight_lb_bu_Big6_Urb_23","test_weight_lb_bu_Big6_Urb_24","test_weight_lb_bu_Big6_Vin_23","test_weight_lb_bu_Big6_Woo_23","test_weight_lb_bu_Big6_Woo_24","YLD_mean","HD_mean","MAT_mean","PH_mean","TW_mean"
"322","2428",113.22078322888,154.997367286991,124.078809367789,112.362466503567,68.0225595815628,82.7201076177706,43.3089672591077,97.6561739764259,139.506091174906,100.405208532184,108.912486711542,80.4229426469034,127.411115190293,124.601783656885,66.8477981463291,108.720892857302,136.453751512535,161.666513572699,172.108104338398,180.06424124637,121.110589104517,129.610622129462,139.413490340142,151.148839386605,188.337543111456,125.366426589869,168.476425949603,156.647487014652,255.297574821206,30.9573323068358,41.9832108562491,67.990504621635,42.5220567824019,44.6591844107605,60.8638436486913,41.0782726728989,72.9170784071373,106.735862521624,66.8857383841141,88.1997973287425,56.4832959278081,58.6960375207161,74.4383974905149,72.2958272183892,103.175748517246,54.5509651382259,62.209931989971,68.8181175884818,70.3688656178355,91.2852397688038,56.9442601444918,60.1301478828998,71.5356423130841,105.273488544175,153.730279576912,205.972530917929,47.1506293284961,72.6865266917698
"323","2402",89.8069817532123,191.820322260917,105.209136317879,128.99537680238,68.0225595815628,62.5270774043563,49.026066257809,80.0572018506503,176.222623842055,100.405208532184,94.1675028220943,106.307798611942,94.6100778375554,134.492649946201,66.8477981463291,85.5285444094974,155.486257437183,128.204649415254,220.72752636429,132.507900596863,121.110589104517,104.825146235227,180.851809112115,122.268293633568,234.712477605185,125.366426589869,121.034842412064,156.647487014652,314.773094317213,37.1916281007098,31.8957119993308,90.3781951388386,35.9527923581222,34.8620536585151,73.8458979983074,34.2403948442319,52.8853524594393,116.054426864424,52.5228041708578,103.436174629629,56.4832959278081,46.9023397059881,93.3503209214287,53.9775739143899,119.256913165909,54.5509651382259,46.9947114538569,87.2841753120477,51.0390389377638,99.3826810546989,56.9442601444918,56.5865901044673,88.6605787321426,105.2666578714,149.160966106895,235.710290665933,48.3380962997223,72.7242472139746
"324","21PU-0290",113.057663957659,143.637731656661,124.675156738433,98.8545179539069,68.0225595815628,95.8520562531184,41.6758915700666,98.5972277074275,127.770734455942,163.12521635758,97.4676128852758,77.158528182358,115.598030385959,118.428572299883,66.8477981463291,111.69633995875,126.689686969228,172.587285130883,166.282612560891,189.320992392331,144.251837470161,115.977087569168,134.305081915789,132.216835692926,176.965267529298,125.366426589869,171.065812517393,251.870873031907,248.75799966545,29.2613711177939,42.2371243497677,80.2093155460758,36.8700265831984,39.1945084689671,56.2885563971629,39.7641245675768,74.9412213709514,102.425144782427,67.2408350206198,85.070576298316,56.4832959278081,56.4513577267114,68.2450720389145,72.8874451578671,94.619871510699,95.7881451112981,54.748496058674,64.5729669416025,62.0536363514502,85.5808695625547,56.9442601444918,57.5753249754815,66.5286082668258,105.244430885891,152.833923936871,250.314436348678,46.2607181472204,71.8915957203937
"325","2442",114.571456795821,147.566166155778,127.650542485382,106.495042667782,68.0225595815628,84.4589596331662,42.4399313343004,99.4175430411612,138.11471763907,100.405208532184,111.820603690683,75.9244109369556,133.191383957082,127.912689078849,66.8477981463291,110.16409285517,134.132501616203,173.375632606239,152.841439178756,183.147203965639,121.110589104517,136.975580199872,132.831435294505,155.127945379989,182.541935130462,125.366426589869,167.815550258816,156.647487014652,249.175483137351,29.8549414382135,41.9455186221663,73.0391589186518,43.3441725785591,46.1129669791659,58.2847052326212,40.5132522539017,73.3330244969559,104.869151767491,66.0833854049813,85.8078855064405,56.4832959278081,58.7516697749,69.4220232094571,72.5468186100101,101.10861118845,54.5509651382259,64.0616805235904,66.5627570663966,73.4292156204694,88.7410685633092,56.9442601444918,59.6349095563554,69.6896866389368,105.243271067499,153.113373770867,202.911485076002,47.5849594318971,71.8835534787217
"326","MI22R057",101.014958272384,162.569786157634,111.644721893664,112.418505398931,68.0225595815628,71.4945069370624,42.9172181073221,86.3298738006869,143.079027771246,178.335736469203,96.9877412166446,87.6019334700342,106.732778964174,123.933307077313,66.8477981463291,94.0170263720953,134.375049334653,139.089670371998,172.166029952918,152.417986297693,155.578368963156,118.308626963517,143.423022110674,135.009694293513,187.347299104501,125.366426589869,136.180068850852,264.924053903981,268.096554059194,30.5022604694038,35.6837750248252,80.7763100524469,37.9389471743262,38.9270708198971,61.1043041009102,36.1758517340545,61.4106691119035,109.181958624431,58.4196596621817,91.4146713949198,56.4832959278081,53.0268974939771,73.4208098491799,61.5284531257989,103.453265477968,100.429920900095,53.8522766539081,72.2656623941256,60.0587379133479,87.912026702166,56.9442601444918,57.1908881633227,73.1621331554221,105.195442880644,146.488719349869,266.510303981587,45.8726456251234,72.3620933350028
"327","IL2021-39253",116.777715031352,152.522254499302,130.242920400906,102.465546316355,68.0225595815628,90.395142207005,42.3090104659009,102.089564436106,133.083289029481,100.405208532184,106.578669200486,82.7243375750296,122.949170729834,125.576157123979,66.8477981463291,112.312474452634,131.518719150746,170.031459859538,163.480051435242,188.280980004713,121.110589104517,127.527529449081,129.818526994103,148.471478323004,178.870793839397,125.366426589869,169.136409487733,156.647487014652,241.700905924152,29.89561646655,43.375726827889,70.7337836488695,41.9402058085887,44.4231608637164,59.3797253271641,43.1098432104271,75.4946141284871,104.800217983449,69.3861478851176,85.3581382566245,56.4832959278081,60.0577518954078,67.8661679242224,74.6771058433735,99.4283401362813,54.5509651382259,60.827766629867,65.7204344947441,67.9852850819546,89.6062044172327,56.9442601444918,61.2698852783935,66.357755820174,105.107090404658,152.20942450872,199.174196469402,47.5511517361721,71.5773139403444
"328","2429",115.894679670075,141.803440981337,129.678280771898,107.689054900164,68.0225595815628,86.0263516264954,41.9465834824604,99.7531278037401,133.849539804642,100.405208532184,114.804581251721,79.3764755307527,130.206984792465,122.934100557068,66.8477981463291,111.571695374567,135.677681842085,164.101348356017,173.019549714678,181.423668554432,121.110589104517,134.679661611989,129.019581270359,156.37586575161,176.785416948518,125.366426589869,169.420900346929,156.647487014652,240.840302171863,29.8617718423533,42.1720962164561,63.9848767187642,43.8466468208215,46.4057121273106,57.3095086330774,41.7743357693845,73.255265044893,102.668332400745,68.1584545436953,83.3138885202214,56.4832959278081,59.6871042331825,68.077299073679,72.633020953461,98.4119520856149,54.5509651382259,65.1093349801915,65.2234407364043,73.6305593371104,89.3549149358616,56.9442601444918,61.2750651738813,66.0574310921542,105.087537920562,153.130300824892,198.743894593258,46.4792783040239,71.4608579012718
"329","22PU-1002",133.978300998711,115.800546263162,141.033848029342,89.3224709702063,68.0225595815628,111.541311650678,42.5499028915272,109.237609535665,107.681353378115,100.405208532184,129.260153442943,64.0923494192531,169.482854307187,102.35510486543,66.8477981463291,132.204489873045,100.803545328217,224.89833225439,127.72837077274,236.068712560143,121.110589104517,155.923222040109,124.831725035685,174.569705178278,153.598244084485,125.366426589869,214.385589209096,156.647487014652,203.782417827136,29.4674962696689,54.225930419615,88.3847992377277,48.9731685933077,53.9188011760442,49.3868251960625,47.3353537402707,97.2288920810218,74.738466393657,78.9660810474711,69.199686499935,56.4832959278081,67.9655349107323,63.0537883269115,89.3813572977911,75.4949433983812,54.5509651382259,76.0872072568094,61.994066576719,92.4087651000971,70.0268224484904,56.9442601444918,61.535005220474,66.5612945604965,104.977612189033,165.848091682931,180.214952420894,53.0989106618138,71.3306136664419
"330","21PU-0042",154.858005608782,90.2874747287309,161.483186875614,68.5812910815305,68.0225595815628,124.386819623276,38.897936009351,129.775754853655,84.1366536775672,100.405208532184,147.300532561936,47.2495982606029,188.161767121093,72.3351845045906,66.8477981463291,157.470873378172,82.1330479625924,249.247838513814,127.72837077274,273.676078531299,121.110589104517,175.974085871888,101.100921990731,201.637731929364,116.64006596115,125.366426589869,251.000947211382,156.647487014652,153.642399639052,25.7170981885731,61.1863422362227,77.5085223312471,55.5784457884605,62.1629891789195,37.3853618140947,54.7653639469662,112.901021746463,60.5055819612279,94.2108584326259,54.3089493971145,56.4832959278081,78.7896129848643,49.6152945358298,107.120053659969,60.4128944453119,54.5509651382259,88.0508089170057,49.679459329939,104.483184378356,54.0574125594855,56.9442601444918,66.6905587328862,55.9203828581046,104.843158382798,174.348305647676,155.144943326852,53.4720176406405,70.8661526558652
"331","22PU-3123",146.030467397072,78.518823564446,144.356516518057,62.9527117807957,106.416967965207,118.341075175307,40.5355735838799,126.088671461888,79.0500326521084,100.405208532184,144.70981935862,47.7400593478117,184.560867912359,68.039147975144,112.573532720701,148.13275109804,73.6857048517296,271.798004047,127.72837077274,266.387669183582,121.110589104517,185.83981591156,112.955633420738,202.206958901159,114.854478978644,126.609004111812,227.637554392669,156.647487014652,147.769178502445,27.2121438111535,59.7166394447969,79.1216550451235,55.0887939308347,61.1457381543825,36.5002404879536,52.4392517267463,108.662532878385,52.3104753618956,83.9010837573258,50.8989709230798,97.0389082238533,73.7459218958508,49.7228553175783,102.08648616969,54.4422703036843,54.5509651382259,88.4846996445709,55.0182860004967,102.653696420156,48.9224345481466,103.700846356013,65.6745428887403,56.628207463438,104.831643052668,175.712807882442,152.208332758548,53.0320660858559,73.437834311243
