"","eval_years","germplasm","YLD_mean","YLD_Big6_Fra_23","YLD_Big6_Fra_24","YLD_Big6_Fre_23","YLD_Big6_Fre_24","YLD_Big6_Ith_23","YLD_Big6_Laf_23","YLD_Big6_Laf_24","YLD_Big6_Mas_23","YLD_Big6_Msn_24","YLD_Big6_Neo_24","YLD_Big6_Prn_23","YLD_Big6_Prn_24","YLD_Big6_Urb_23","YLD_Big6_Urb_24","YLD_Big6_Vin_23","YLD_Big6_Woo_23","YLD_Big6_Woo_24","TW_mean","TW_Big6_Fra_23","TW_Big6_Fra_24","TW_Big6_Fre_23","TW_Big6_Fre_24","TW_Big6_Ith_23","TW_Big6_Laf_23","TW_Big6_Laf_24","TW_Big6_Mas_23","TW_Big6_Msn_24","TW_Big6_Neo_24","TW_Big6_Prn_23","TW_Big6_Prn_24","TW_Big6_Urb_23","TW_Big6_Urb_24","TW_Big6_Vin_23","TW_Big6_Woo_23","TW_Big6_Woo_24","HD_mean","HD_Big6_Laf_23","HD_Big6_Laf_24","HD_Big6_Mas_23","HD_Big6_Neo_24","HD_Big6_Prn_23","HD_Big6_Prn_24","HD_Big6_Urb_23","HD_Big6_Urb_24","HD_Big6_Vin_23","HD_Big6_Woo_23","HT_mean","HT_Big6_Laf_24","HT_Big6_Mas_23","HT_Big6_Neo_24","HT_Big6_Prn_23","HT_Big6_Urb_23","HT_Big6_Urb_24","HT_Big6_Woo_23","n.study_2023","n.study_2024"
"1","2024","OH21*117-94",10.2207520197868,-0.716369668790752,5.3179586077777,8.76406576399025,20.5909767527069,3.13904669925807,-3.16872195908092,5.2660709931354,-2.46536777426691,8.12294798621435,28.8776793734772,12.7331752048158,12.36760025626,7.08851242278848,34.9087456448058,11.2849301197129,4.59644100670667,17.045092906865,0.60000384362438,-0.891449646475665,-0.383110559797009,0.944563828805966,0.160707310261184,-0.297561570881125,0.2167499227772,-0.567498594942026,-0.357510378566968,0.331285443213174,1.6225580895231,0.279066350690412,1.25005591245438,0.0816889585836117,6.07120420490771,1.03474158781881,-0.184287668345256,0.888862151586962,-0.393802611948056,1.21616258097219,0.721955587616984,0.438121244750762,-1.02937716378771,-2.07390886997903,-0.760930410062515,0.143937380876189,-1.20033150159765,-0.6929734149601,-0.70068155330967,-0.106996076886713,-0.189188574329435,0.57654852005612,-0.209301850475032,-0.238108525992248,-0.739659456474216,0.0612113892114972,-0.0104740402036803,NA,"7"
"2","2024","X17-1469-116-7-1-10",9.36710631116924,6.71411335181258,11.4805030686392,12.3432741397954,6.64505638403299,9.28112556950257,8.89633655921185,4.19873233701236,8.07019436467632,12.3592047189739,9.42803026047932,7.87121548626973,8.81486921594003,10.7976415551708,7.36778025083508,13.9294250634265,11.3687671007287,9.67453786336978,-1.07594753828493,-1.27414340399341,-1.16749690178672,-0.944326704936412,-2.51577676179839,-0.753078639674361,-0.706008434759936,0.21244656181599,-0.950621173751885,-0.952664777264544,-1.3211045496316,-0.508316548904735,-2.68586778654261,-0.662674226067999,-0.341641122157308,-1.23778658495136,-0.747566059815894,-1.73448103662267,-0.451692885654114,-0.552903536082556,-0.374535206308289,-0.0755907219957788,-0.538521049300386,-0.771696919993802,-0.583025023761879,-0.152764020891212,-0.193481544990592,-0.541069808495448,-0.7333410247212,1.60169207743761,0.905213628299829,2.66105519051039,1.87502080859181,1.49435536918356,0.700349388748162,1.38335697940212,2.19249317732742,NA,"7"
"3","2024","MI22W213",8.99585501845454,6.70309900767002,8.9760593553487,12.7612592313808,18.7727281561545,5.91130774846397,1.89076649381098,3.24147833022405,5.33118467203647,9.83233669948202,-1.25502714305412,10.3552487709913,1.73200410398745,15.5413867407015,18.1470201351802,10.4044600897162,10.7875888051823,13.7966341164508,-1.54926708867316,-2.1786995102177,-1.20500329192616,-1.42288391063472,-1.43531691223724,-1.60012664292226,-1.45630860364978,-1.15100028398795,-1.26935880700522,-0.88021152061409,-2.50072608201014,-1.28242468925987,-3.64205974001577,-2.48913033566321,-0.15040974186748,-1.50105199776306,-0.791038839329372,-1.38178959833964,0.461725832809808,1.4251501797765,0.341055482193281,0.644346991098132,0.533228665678387,0.30925807792874,-0.591789667640252,0.801892673775311,0.237643232304583,0.609359841680484,0.307112851302915,-3.93512947408936,-3.37860933662893,-4.1733619673551,-4.09943555404092,-4.0623886623432,-4.14114896732584,-3.45865377404386,-4.23230805688771,NA,"8"
"4","2023&2024","16-8048",8.54130268376895,4.79491484831928,3.58954568490397,8.53936649677739,12.6164638129503,5.63545823211106,5.66722325940463,4.08433112642722,2.43071409614764,9.64496728597619,18.2185254473876,5.95011246609602,15.0298807625739,11.7171871173958,18.4883573686794,9.55597244926587,5.97488056573089,3.26424460392501,1.39417246273738,1.09919826985023,0.849774310386633,0.285798407838116,1.42686126806282,1.48750903320606,0.736329999026983,2.31108044082088,0.879886555110755,1.04027256622924,2.64416711242336,-1.11859229673327,3.58929950565012,1.33231753033539,3.02789244041538,1.25890059119259,0.908009163785973,1.94222696893424,-1.03476839416419,-1.27297019729253,-0.886426125607012,-0.756335980272935,-1.27589224471812,-0.73151324062772,-0.620090435633454,-1.22522935769333,-1.30460150579231,-1.34997250430836,-0.924652349696148,0.276632779510315,0.287522363489622,0.181752713019886,0.229742645368007,1.0353213697879,0.304335053714747,-0.225364498418794,0.12311980961084,"7","7"
"5","2024","MI21W0040",7.99517453472472,6.40196704118519,8.77851668620745,9.39967777590542,6.04118901686186,6.10190440907459,8.13537101065068,2.89693672234784,6.36277708041729,7.35308047128641,1.9832887651762,13.7040520496712,5.76084114876463,15.1039627090183,7.70049156181001,10.1729310167052,7.40360966774892,12.6173699574891,-1.13122153210641,-0.514159905561995,0.424502183284895,-0.793663819603105,-2.7696912733614,-0.511260043201383,-0.500634030792727,-0.965454200798416,-0.57497630560757,-0.554125878636276,-3.34122302245865,0.551086598669608,-2.76681586369844,-1.21673642165666,-3.32923948441441,-0.9936442174558,-0.428977973069165,-0.945752387447459,-0.73026073945173,-0.670140189184887,-0.508474544356501,-0.235066617544049,-0.955388130359993,-1.45381977173836,-0.673762026324483,-0.342442031400441,-0.675767555660471,-0.926303863524088,-0.861442664424022,-2.55955846847747,-1.72554902225834,-3.53318076759029,-2.55299883041901,-2.61064498204047,-2.68587645352167,-2.11849999630981,-2.69015922720271,NA,"8"
"6","2023","2203",7.95107795669212,6.6272049933384,7.59654581513495,12.7711872345865,6.07991736195821,7.06506840631242,12.1359077228306,2.57897769324851,8.92520842505462,6.85820016911825,-2.21134550924369,14.5719641136768,1.42272906022217,19.4892780397726,2.42261119430089,10.8855350540028,11.5381673336221,6.41116815582986,-0.898472505644936,0.545048157248878,0.0473826138827727,-1.16998751121009,-1.50345440558646,-0.414094171323227,-0.898157930324906,0.0908833940221396,-0.300927118827842,-0.672943012863478,-1.35195374714885,0.700145879111539,-2.35414116576656,-1.66284258095135,-2.23198114584073,-1.97424768439199,-0.0684913908774857,-2.05427077511626,1.23473221414433,1.33749085435864,0.70098246043349,0.273100461157308,1.41313759275979,1.96182314418233,0.736288320555902,1.56998569234877,1.28388496540847,1.40333540529719,1.66729324494138,0.178474232555599,-0.465286268300978,0.432369274226731,0.688837805080028,1.27402687933786,-1.35374907176283,0.295805049804037,0.37731595950434,"9",NA
"7","2023&2024","OH15-191-52",7.88476500582129,5.40713179633315,8.94507865768822,9.29281359553587,18.2711430731275,5.76603273692043,-4.02766082995965,3.26167691361028,4.23799511673007,11.6375203160087,1.50539184635697,4.16364807115967,9.45297122569066,7.08961089922947,17.5682469899358,9.92471587909759,10.2793390409722,11.2653497705249,0.09650363787626,0.256904362794249,-0.65365840254898,-0.638729877215589,-0.0957134711178175,0.166696746356494,0.407081347521026,1.02444525541996,-0.295901060097463,0.142670967385041,0.585162061022475,1.05621158079227,-0.642878926201028,-1.19702944038426,1.03001247707026,0.241336930973643,0.147021817431348,0.106929474694798,1.84984590118068,3.30412942963749,1.37203025354838,1.22365618876186,1.96271469559395,1.86389605320617,0.847670564095026,1.77106895434692,1.43144214183989,2.11797063493622,2.60388009584089,-0.687206394614632,-0.73485686786171,-1.45849825775039,-0.652991539097491,-0.457824895056409,-1.22758499407853,-0.142732577985343,-0.135955630472555,"9","8"
"8","2024","IL16LCSDH-06-T-2661-17",7.6973629430772,6.60559394572843,9.19071086177602,9.78415095768035,6.41227869306883,7.31659284780778,5.2063933589997,3.59064505936542,5.56770077435689,8.83633471478886,9.51961301247229,8.07515502441603,6.63284505186155,13.5036659141891,8.58987584601908,11.3505193388497,7.47309716310456,3.1999974678278,0.231017559586814,0.654494597590924,-0.391033959397875,-0.558677515667089,1.15221146916015,0.0417220016549914,0.0188232449388804,2.36868280851972,-0.408899313423361,-0.0551250382961108,0.19284697443416,0.420066650836545,0.658854887582829,0.194391077584748,-0.328625890893265,0.0487206368439924,0.039930290917329,-0.121084409410741,-0.703925518084065,-1.23845859295334,-0.726587290703042,-0.432951925027303,-0.937523540784099,-0.235321868791006,-0.508319291674753,-1.12770887062171,-0.577374689947025,-0.991148897302022,-0.263860213036347,0.630390300567745,0.153172266077963,0.530448752573897,0.389120121987308,1.70025612073599,0.327730047582413,0.785051398277912,0.526953396738731,NA,"8"
"9","2024","OH21-117-101",7.43863480587269,-2.32560701419208,2.48058077224901,5.57038002351272,14.8272657783651,1.28275050518977,-3.39849156486237,3.72204126315031,-4.02538667976543,4.13174462849324,25.1873680618626,7.15083293286129,14.7678211280117,2.81398973496341,32.5758471025317,6.83733065597112,4.10260843047639,10.7557159410173,1.51439305174833,0.148539303678878,0.355741963036013,1.5891237221213,0.904554272778126,0.582674335565996,1.12501078561273,-0.0328235002437623,0.417368681650157,0.755934616127994,3.45187966476627,1.00338157464643,2.90538559510054,1.25603309698701,6.30094832525925,2.02124603960285,0.552532590501752,2.40715081253012,-0.118252484160467,1.33522783174886,0.665159992338032,0.177795166250834,-0.525106701346548,-1.41797997764921,-0.340581852356112,0.310319852775126,-0.419596724761647,-0.303474480811053,-0.66428794779295,-0.821039691770677,-0.851837799216515,-0.22461081580113,-0.885557107530537,-1.0666075783776,-1.2494723203083,-0.601984202632027,-0.867208018528622,NA,"7"
"10","2024","2402",7.3196081083855,9.3690452707572,13.6474831030816,12.7247895186434,2.29029608362822,9.07515512703193,9.04373776608235,1.37522910689381,12.4164390275398,10.7774570567891,-13.2150234493358,13.5260857396272,9.02868620442695,18.3074256578507,-13.7000788021193,10.5886569426542,17.2811719157561,1.89678157324593,-0.953448781513641,-0.633002043391,-0.262840168312867,-0.732830058387611,-2.87462277630605,-0.753660338139409,-0.679164908790948,0.246563346608403,-0.297910292336287,-0.0158624414822687,-1.52729872913658,-0.37107885171915,-1.25203202716712,-1.14894706909294,-4.01610726844919,-0.684342041639099,-0.34702199309379,-0.858471624895998,-0.44780966430534,-0.0612470075949555,-0.63481400020652,0.0464396125128312,-0.626506866346831,-0.605767271630045,-0.691329711302662,-0.68276582365206,-0.277536315160066,-0.637159794247349,-0.307409465425738,-2.4095002141347,-2.08286851374291,-2.53611190056586,-2.35654300147784,-1.37003553381453,-2.96095603783692,-3.24762288837249,-2.31236362313234,NA,"7"
