"","eval_years","germplasm","YLD_mean","YLD_Big6_Fra_23","YLD_Big6_Fra_24","YLD_Big6_Fre_23","YLD_Big6_Fre_24","YLD_Big6_Ith_23","YLD_Big6_Laf_23","YLD_Big6_Laf_24","YLD_Big6_Mas_23","YLD_Big6_Msn_24","YLD_Big6_Neo_24","YLD_Big6_Prn_23","YLD_Big6_Prn_24","YLD_Big6_Urb_23","YLD_Big6_Urb_24","YLD_Big6_Vin_23","YLD_Big6_Woo_23","YLD_Big6_Woo_24","HD_mean","HD_Big6_Laf_23","HD_Big6_Laf_24","HD_Big6_Mas_23","HD_Big6_Neo_24","HD_Big6_Prn_23","HD_Big6_Prn_24","HD_Big6_Urb_23","HD_Big6_Urb_24","HD_Big6_Vin_23","HD_Big6_Woo_23","MAT_Big6_Neo_24","MAT_Big6_Urb_24","HT_mean","HT_Big6_Laf_24","HT_Big6_Mas_23","HT_Big6_Neo_24","HT_Big6_Prn_23","HT_Big6_Urb_23","HT_Big6_Urb_24","HT_Big6_Woo_23","TW_mean","TW_Big6_Fra_23","TW_Big6_Fra_24","TW_Big6_Fre_23","TW_Big6_Fre_24","TW_Big6_Ith_23","TW_Big6_Laf_23","TW_Big6_Laf_24","TW_Big6_Mas_23","TW_Big6_Msn_24","TW_Big6_Neo_24","TW_Big6_Prn_23","TW_Big6_Prn_24","TW_Big6_Urb_23","TW_Big6_Urb_24","TW_Big6_Vin_23","TW_Big6_Woo_23","TW_Big6_Woo_24","n.study_2023","n.study_2024"
"1","2023&2024","OH15-191-52",5.90945119142004,4.11808087887662,9.05173467345281,4.44406014563716,17.8101549632428,3.23769767217843,-4.19528997779784,-0.0240384372281272,2.54046934231062,9.51353424006563,-2.40058870005934,-1.43884916337859,8.33066076792551,4.74787834485049,17.9599802231266,6.20493788676728,9.96666494489869,10.593582449272,1.80344869161471,3.2502088870804,1.09762724224935,1.20331069517393,2.42918402026169,1.82927594272926,0.832658061968301,1.65309195869408,1.33924102696699,1.88478305137611,2.51510602964701,-0.017167468671723,2.54812200797354,-0.757120483011349,-0.793637317055658,-1.5721210622395,-0.792719545129615,-0.228690937012566,-1.52601467409321,-0.199192332596847,-0.187467512952048,0.137879090897955,0.400327239726277,-0.653540057040215,-0.899010212139234,-0.0788157490054701,0.432169496253371,0.594693991288702,1.11774861476083,-0.247870975355864,0.126985408326714,0.30840231758767,1.25653731851279,-0.543035038054295,-1.13969698692446,1.09135011094871,0.13291023391935,0.547370469108385,-0.102581636648034,"9","8"
"2","2024","OH21*117-94",5.81205185749601,-3.08693933147536,4.52578319169502,0.826726600314123,18.7362795396904,0.455885729763456,-4.80532569052285,1.35203764472267,-4.36635858588532,4.74692004553157,12.3619108229325,3.83213685374998,9.95758929116026,-0.557099742594093,32.5737120396767,2.92769310181112,3.75899852483227,15.5649315420296,0.00979563557391115,1.19084118254919,0.77463035351023,0.392303801292437,0.126263323854093,-1.03847200006905,-0.479786892105226,0.45107293940611,-0.831397120190963,-0.0989961034954928,-0.388503129012218,0.557239208569417,0.556486645915257,-0.8087114411189,-0.429790051194947,-0.0406070304571752,-0.989350554179874,-1.02116085535053,-1.96602454874224,-0.362537230712752,-0.851509817194776,1.05412266047126,-0.524630029738218,-0.325450286679123,1.93911788268426,0.289830105993982,0.326895693238199,0.771260663797526,-0.201015410961126,-0.0677458003220537,0.475693167335729,2.38777446245597,0.678231956917222,1.81998450831886,0.852055470494161,6.20120075327238,1.70527429382184,0.377396355243472,1.2142114421383,NA,"7"
"3","2024","OH21-117-101",5.2677444655779,-3.28965986857826,2.07233980824544,0.936291591175726,14.2929363903527,1.03717102896476,-2.1984017261594,1.24845400866773,-4.34691848824787,1.36100769668319,12.7871516390815,0.395872006134034,14.037761721678,-0.339253747169392,33.0559886838503,1.65994040093828,6.83917070035268,10.0018040688548,-0.23751023199066,0.969920986414142,0.338482457989962,0.0664191926595404,-0.149228721195355,-1.43014829709758,-0.483110286086694,0.182533378300013,-0.515296777295699,-0.430365250588128,-0.924309003006796,0.174619532746936,-1.58241795762057,-0.905865864200944,-0.769111160876708,-0.270154078222503,-1.12176891644222,-1.01365767874451,-1.5589383381124,-0.556293873956853,-1.05113700305141,1.63897665162513,0.369169263237146,0.383530372514764,1.84832691012865,0.923054376910599,0.981912737567525,1.42120716031596,-0.150115771365218,0.590591541200342,0.705375804564622,3.62239623262628,1.25025115711106,2.91833088462733,1.53532900269817,6.44640448909253,1.82212561553697,0.872145304165203,2.32256799669523,NA,"7"
"4","2024","MI20R0012",5.0219452373881,-0.902395752809561,1.41444689821884,1.61215458566789,19.6171316214508,1.7800508799279,7.28081452983641,1.86982153527409,4.13367741348631,-7.72378305999738,9.03360574126964,3.62535562424905,-0.0428838553393729,4.27642772873261,17.6973945645287,0.630787852327217,10.7204682609352,10.3499944678394,1.11850104300434,1.13501435520277,0.749611775173242,0.420960249129524,1.64940671142192,1.85130614582109,0.655702027747962,1.32794772940554,1.09914721420272,1.40497788247957,0.89093633945905,0.754248262072297,1.70024038597714,0.249712937136539,0.0958141534301334,-0.207807618429194,0.506881342334729,0.590105122085244,-0.612305473370305,0.789725098890379,0.585577935014784,1.73155147472017,2.28975764016121,1.34352903009703,-0.00463604607951843,1.99647726276216,1.94220058883426,1.0385613759837,3.16208223330831,1.7565147108821,0.772190277779055,2.42908556168248,1.69465286493524,2.73406643376838,0.986731078139042,4.6328693983038,0.202569992856352,1.52497223048613,0.934750436343092,NA,"8"
"5","2023&2024","2202",4.63827915553386,3.37528070427462,2.3795915955705,4.89458964750486,10.7373276517704,2.84227152001355,9.17281388104556,0.854908387361112,5.80809603960597,-12.349192897187,1.37047392976318,7.35143572616411,-3.69923084175808,6.20639161638365,11.9882550163649,1.86301908680918,12.8389318343209,13.2157827460682,1.12924192118907,1.27064689006502,0.589928723213575,0.229258191273944,1.67511478066433,1.69899392106175,0.643652671799256,1.1713179978007,0.990742627304287,1.39823030910257,1.62453309960525,0.69385379461422,1.00808837988792,-0.835725315677231,-0.668801988866016,-1.73506954118933,-0.601909242252047,-0.70677377052946,-1.32815511714926,0.150620595235067,-0.959988144989567,0.763599204805713,1.93436731274265,0.735028220425596,-0.504168775174815,0.268887785937588,1.15580839148186,0.40725872343323,2.25907402473783,0.970549185762668,-0.805349556322983,0.593640481289509,2.02343562862365,1.76040904979979,0.259824754292611,1.70192068602165,-0.133612176392485,0.758054639756173,-0.403941894717388,"9","7"
"6","2024","IL16LCSDH-04-T-2659-216",4.51943089680996,1.14580121790141,2.83171863662845,1.77418995822426,6.12879293717346,0.807332386293461,5.15320901867057,3.19971586017325,2.22425080704782,4.58133752882653,15.9111782460957,-0.528802318947374,5.06448403603887,4.37585872819594,23.8003039087757,1.55568162142215,0.269310588309584,-1.46403791506048,-1.10187509813602,-2.00396419467356,-1.35083400469484,-0.249570855438761,-1.00014904209728,-1.21486059069828,-0.825704313913704,-1.14470882850429,-1.23583160798631,-1.42056540994048,-0.572562133412705,-1.53059425641609,-3.19253250062394,-0.917152767081297,-0.564373591246307,-0.580019765331133,-1.587260389678,-0.675964452061975,-1.04496754207919,-1.04319080332835,-0.924292825844135,1.68773613015583,1.50860834916957,0.501427160289548,1.29502973101069,1.65429446986719,1.25820534534246,1.13180927792321,2.66903580505801,0.743450036318215,0.97662011054375,3.14807064415051,1.85236086651512,2.11564236115516,1.82381903541237,2.98675548579098,1.95127108012581,1.0775611973627,1.99755325661383,NA,"8"
"7","2023&2024","16-8048",4.49124525789816,1.35516906642114,-0.356693702987617,0.035007975175667,11.6496970681582,-0.0922130979993631,4.48474815476492,1.75760408406039,-0.0288519187112421,5.86820960200187,8.93435201910389,-1.27563620256048,13.5342642403352,9.10368320749934,18.5073781007041,-3.01234168817119,4.31791470305585,1.56887777341799,-0.928867632072585,-1.35643630247963,-0.923106035193605,-0.799948371789707,-0.922142658540296,-0.288645059546447,-0.664213668591959,-1.14451931587332,-1.28106135545983,-1.02508674687571,-0.883516806375347,-0.693546326657544,-0.936055605520961,0.137096544475798,0.390008744769617,0.0800983832174645,-0.124678278966889,0.997960019903273,0.0359020914619068,-0.269299277291473,-0.150315871763313,1.45634939020966,1.10300923998603,0.837194720754248,-0.156554403810639,1.33709207959059,1.7688936092128,0.796756090363997,2.52702043550297,0.99892393370741,1.04090127548873,2.71935933737315,-0.999907898009199,3.64963072483389,1.37079233302305,3.08569080389965,1.29940124687957,1.04995760491667,2.32977849985123,"7","7"
"8","2024","MI22W213",4.47184747155243,5.14353804635285,8.31291924418723,5.66222520613667,17.3227984502521,0.826774267198726,-2.20257247604617,-0.672936388030848,1.43751243223425,7.0394057325319,-5.47254261937944,-0.184317088572673,-0.608800060671484,7.07946896534039,17.0177432600214,-2.15056243133656,5.75759426201413,11.7131582141588,0.398213925153418,1.50480712696401,0.222800738967761,0.808143980876668,0.937346113503417,-0.0806430062657924,-0.534799309376584,0.553591181746862,0.18021950234739,0.197352596835478,0.193320325934973,0.744191692075455,-0.09054144534863,-4.23389982868641,-3.69899000107362,-4.52158048991279,-4.57039664688174,-4.41429616770794,-4.25861543282976,-3.57376723580507,-4.59965282659395,-1.16856219800711,-1.2799539249349,-1.17898010710038,-1.01397592026612,-1.29656350573375,-0.787708518959408,-0.868019195146722,-1.03238467024677,-0.670398878998637,-0.799094500562901,-2.545097293649,-0.884932555715665,-3.38190660264272,-1.53030615655768,-0.0670256539799327,-1.2993918430131,-0.275850863070559,-0.953967175542583,NA,"8"
"9","2023&2024","OH20-96-116",4.37655607540075,2.43786694851412,2.94356568843486,3.52491091273776,6.92111579871423,0.651742539191086,-0.649918329723068,0.810910367249083,-2.66587539228075,0.853706305012486,11.699682479988,3.29728177983035,-3.27397862381222,7.85978475757505,22.5367490706347,2.09552946495753,6.89264676534968,8.46573274943986,-0.116895434151124,0.692160305878707,-0.298208625978498,0.0760063978390623,-0.245591233681421,-0.546436270416411,-0.147218143715819,0.0439181694016978,0.564116745624236,-0.362313224129518,-0.945388462333278,0.921985838577449,1.80443290072259,-1.07599823475478,-0.650637009933065,-1.07732089900521,-1.44875761069772,-0.963303200368584,-1.56040590598266,-0.762917750101615,-1.06864526719462,0.480226149793338,0.02722647861255,-0.401390292000339,0.936724922417677,0.58579226553565,0.0386664318496145,0.158425648444789,-0.855011181380886,0.147740360339646,-0.185888673505122,1.27116927799228,0.287389185439836,1.02501501418426,0.253692886429166,3.26509403505603,0.387519803656714,0.104508128030214,1.11717025538467,"5","8"
"10","2024","MI21W0040",4.36093824870624,4.80223800350356,8.37642032437343,2.90902899937655,4.17056113630957,2.82632790200533,4.14645732111208,0.0158467105482754,3.5834301138595,4.41571367465336,-0.562404177133466,6.019521564363,3.69654373896301,7.8181604785981,5.89958094576831,2.15170229795527,2.68388872035596,11.1829324733943,-0.645489061461145,-0.581638451162696,-0.546489985977029,-0.174324063376054,-0.721014404342056,-1.23640350022492,-0.635395071013056,-0.331131995009762,-0.578217050775067,-0.88638601485225,-0.763890077878559,-0.878604305898331,-0.313015285198374,-2.64648490854471,-1.65147237742403,-3.32205170621414,-2.96010469578344,-3.03097379044865,-2.71379435941664,-2.18064940508973,-2.66634802543637,-0.967360388263171,-0.364153244253154,0.437847105290987,-0.386372372355661,-2.82900649907818,-0.488526437289279,-0.234794692843943,-0.918537070827209,-0.595476668062294,-0.572729616423309,-3.33102730180476,0.56268906877126,-2.72099159507155,-0.77470069695578,-3.27515542262749,-0.298539803753817,-0.422847896186542,-0.232803457003195,NA,"8"
"11","2023","2203",4.17951426788816,3.32885003587295,4.43656587902547,9.29461054629693,1.18491340033827,3.6571312247279,10.7110656533395,-0.562349998161022,7.08211811965986,1.91467799200296,-6.35452375936387,11.1758683278366,-1.83485256251644,16.5761509488141,-4.72983073626873,5.47465883902499,7.42991270025088,2.26677594321835,1.33503798215805,1.41501569226411,1.03362086979889,0.262851888138353,1.43241469408608,1.95410717050313,0.885196053723099,1.67593984640186,1.47243454996055,1.48718931490025,1.73160974180423,1.14775213246222,1.17649981363515,0.113102246452677,-0.00113934616855744,0.448443154812788,0.40150899687582,1.00902751207238,-1.57130413693522,0.377454386022206,0.127725158489323,-0.800384974390386,0.761625535316178,0.109393820309742,-1.07948402718762,-1.42597685613622,-0.413157001494844,-0.86925316203754,0.742160788705269,-0.391792473895238,-0.533587214377187,-1.25196443709414,0.584977100149867,-2.06403102429505,-1.51319527615052,-2.08857726519299,-2.2390621762111,-0.10671252195444,-1.82790837309072,"9",NA
